is_shuffled,seed,motif_type,n_branches,n_traces,n_overlap_branches,gSIG_A,gSIG_B,gSIG_E,B1_linking_gain,NR_targeted,NR_generic
True,110,strong_overlap,8,2,1,0.03203404074861934,nan,2.8422888310734264,0.07341785700283365,2.446755544400954,-0.3955332866724722
True,111,strong_overlap,8,2,1,0.040271495474069226,nan,2.7542905275010696,0.08527506500505877,2.3603919468130847,-0.39389858068798506
True,112,strong_overlap,8,2,1,-0.014900954482175509,nan,3.4775978905250264,0.044557355691914546,2.787762046295386,-0.6898358442296405
True,113,strong_overlap,8,2,1,-0.043978285425342975,nan,3.7541175439572245,0.020043872529041384,3.0421395534637257,-0.7119779904934989
True,114,strong_overlap,8,2,1,0.014076605921753561,nan,3.2409987001001626,0.0672778926253278,2.5354559578619846,-0.705542742238178
True,115,strong_overlap,8,2,1,0.07016667199740978,nan,2.8821722014214686,0.10467217814044572,2.1715774022585173,-0.7105947991629514
True,116,strong_overlap,8,2,1,0.0261960264800254,nan,2.855578654343975,0.07434283100207417,2.4756406146792296,-0.37993803966474515
True,117,strong_overlap,8,2,1,-0.006128208214636159,nan,3.0817233619503748,0.05044015361687937,2.7184697199881263,-0.3632536419622483
True,118,strong_overlap,8,2,1,-0.037656962207380164,nan,3.3300688152809057,0.023411653507866448,3.0155162968011915,-0.31455251847971444
True,119,strong_overlap,8,2,1,0.023021560701527242,nan,2.9201848407391995,0.07274643243458856,2.468089384208634,-0.4520954565305652
False,42,strong_overlap,16,2,1,0.27888674224774446,nan,1.5662216426228537,0.2951009656804182,1.0098992050299724,-0.5563224375928812
True,100,strong_overlap,16,2,1,-0.00696945940233417,nan,3.973955441377744,-0.0038239537212079178,3.2797236617189656,-0.6942317796587784
True,101,strong_overlap,16,2,1,-0.008920628107505088,nan,3.9956587827890746,-0.0042203752381466675,3.286825438181598,-0.7088333446074766
True,102,strong_overlap,16,2,1,-0.01761895376554995,nan,4.09599053795485,-0.011902435750869023,3.3884789310079246,-0.7075116069469255
True,103,strong_overlap,16,2,1,-0.004047364566867809,nan,3.952632414775977,-0.0014637235672335658,3.2433226379776485,-0.7093097767983284
True,104,strong_overlap,16,2,1,-0.014187090859713621,nan,4.07039695613036,-0.009884339046709267,3.362489987579661,-0.7079069685506993
True,105,strong_overlap,16,2,1,0.004945673935061979,nan,3.5330137200380896,0.006187269096575743,3.1476589037847273,-0.38535481625336215
True,106,strong_overlap,16,2,1,0.0012893029179231186,nan,3.8856799625522918,0.004175388112160561,3.1927707856398215,-0.6929091769124703
True,107,strong_overlap,16,2,1,-0.007598619595171385,nan,3.9811295752413223,-0.00329525413663323,3.288794073542349,-0.6923355016989732
True,108,strong_overlap,16,2,1,-0.0008763641672116297,nan,3.903443121054364,0.001789184436694402,3.211456555916668,-0.691986565137696
True,109,strong_overlap,16,2,1,-0.0043761200129577,nan,3.945410399112304,-0.001195520404562278,3.2505499435520373,-0.6948604555602669
True,110,strong_overlap,16,2,1,0.00865466857241887,nan,3.4899033802913304,0.010302817672031117,3.099815675729304,-0.39008770456202646
